entity,code,year,co2_pc,co2_total,pacific,co2_total_mt
Afghanistan,AFG,2024,0.25384834,10825998,FALSE,10.825998
Albania,ALB,2024,1.5919901,4444448,FALSE,4.444448
Algeria,DZA,2024,4.233817,198203180,FALSE,198.20318
Andorra,AND,2024,5.1816607,424663,FALSE,0.424663
Angola,AGO,2024,0.5894967,22333584,FALSE,22.333584
Anguilla,AIA,2024,10.126855,148085,FALSE,0.148085
Antigua and Barbuda,ATG,2024,7.092406,665140,FALSE,0.66514
Argentina,ARG,2024,3.7434063,171059260,FALSE,171.05926
Armenia,ARM,2024,2.498691,7430715,FALSE,7.430715
Aruba,ABW,2024,8.518487,920644,FALSE,0.920644
Australia,AUS,2024,14.477199,386732380,FALSE,386.73238
Austria,AUT,2024,6.180112,56367656,FALSE,56.367656
Azerbaijan,AZE,2024,3.8533201,39830140,FALSE,39.83014
Bahamas,BHS,2024,7.64968,3069679,FALSE,3.069679
Bahrain,BHR,2024,24.270082,39003456,FALSE,39.003456
Bangladesh,BGD,2024,0.6240862,108317880,FALSE,108.31788
Barbados,BRB,2024,4.8328743,1365171,FALSE,1.365171
Belarus,BLR,2024,6.163221,55818416,FALSE,55.818416
Belgium,BEL,2024,7.2798314,85456200,FALSE,85.4562
Belize,BLZ,2024,1.9085852,796027,FALSE,0.796027
Benin,BEN,2024,0.4194466,6066339,FALSE,6.066339
Bermuda,BMU,2024,8.506047,550001,FALSE,0.550001
Bhutan,BTN,2024,2.0939395,1657416,FALSE,1.657416
Bolivia,BOL,2024,2.3127308,28708664,FALSE,28.708664
Bonaire Sint Eustatius and Saba,BES,2024,4.947458,151882,FALSE,0.151882
Bosnia and Herzegovina,BIH,2024,6.1391783,19425932,FALSE,19.425932
Botswana,BWA,2024,2.9596071,7461599,FALSE,7.461599
Brazil,BRA,2024,2.2783718,483011550,FALSE,483.01155
British Virgin Islands,VGB,2024,4.873842,192507,FALSE,0.192507
Brunei,BRN,2024,26.046202,12052463,FALSE,12.052463
Bulgaria,BGR,2024,4.6793866,31621824,FALSE,31.621824
Burkina Faso,BFA,2024,0.27634817,6507663,FALSE,6.507663
Burundi,BDI,2024,0.065253265,916664,FALSE,0.916664
Cambodia,KHM,2024,1.2405994,21882690,FALSE,21.88269
Cameroon,CMR,2024,0.33071235,9631583,FALSE,9.631583
Canada,CAN,2024,13.419917,533340100,FALSE,533.3401
Cape Verde,CPV,2024,1.1312839,593786,FALSE,0.593786
Central African Republic,CAF,2024,0.07403937,394681,FALSE,0.394681
Chad,TCD,2024,0.13948385,2831401,FALSE,2.831401
Chile,CHL,2024,3.983124,78725544,FALSE,78.725544
China,CHN,2024,8.65839,12289037000,FALSE,12289.037
Colombia,COL,2024,1.752047,92659384,FALSE,92.659384
Comoros,COM,2024,0.6365447,551650,FALSE,0.55165
Congo,COG,2024,1.3958335,8839770,FALSE,8.83977
Cook Islands,COK,2024,5.8242183,80083,TRUE,0.080083
Costa Rica,CRI,2024,1.7077205,8760451,FALSE,8.760451
Cote d'Ivoire,CIV,2024,0.46434766,14828585,FALSE,14.828585
Croatia,HRV,2024,4.764723,18464850,FALSE,18.46485
Cuba,CUB,2024,2.225931,24440234,FALSE,24.440234
Curacao,CUW,2024,12.344206,2289628,FALSE,2.289628
Cyprus,CYP,2024,5.373922,7299328,FALSE,7.299328
Czechia,CZE,2024,7.043965,75623000,FALSE,75.623
Democratic Republic of Congo,COD,2024,0.05403233,5904451,FALSE,5.904451
Denmark,DNK,2024,4.746057,28369162,FALSE,28.369162
Djibouti,DJI,2024,0.48264864,564084,FALSE,0.564084
Dominica,DMA,2024,2.5799234,170858,FALSE,0.170858
Dominican Republic,DOM,2024,2.8992038,33130818,FALSE,33.130818
East Timor,TLS,2024,0.47700548,668112,FALSE,0.668112
Ecuador,ECU,2024,2.535337,45979548,FALSE,45.979548
Egypt,EGY,2024,2.2170217,258367860,FALSE,258.36786
El Salvador,SLV,2024,1.4155904,8972291,FALSE,8.972291
Equatorial Guinea,GNQ,2024,3.704236,7010352,FALSE,7.010352
Eritrea,ERI,2024,0.21004777,742647,FALSE,0.742647
Estonia,EST,2024,6.105464,8306777,FALSE,8.306777
Eswatini,SWZ,2024,0.8405372,1044644,FALSE,1.044644
Ethiopia,ETH,2024,0.13506985,17837292,FALSE,17.837292
Faroe Islands,FRO,2024,13.089157,725388,FALSE,0.725388
Fiji,FJI,2024,1.5561111,1445316,TRUE,1.445316
Finland,FIN,2024,5.300579,29775000,FALSE,29.775
France,FRA,2024,3.969368,264155620,FALSE,264.15562
French Polynesia,PYF,2024,3.2747147,922867,TRUE,0.922867
Gabon,GAB,2024,2.126386,5398794,FALSE,5.398794
Gambia,GMB,2024,0.29086024,802774,FALSE,0.802774
Georgia,GEO,2024,3.0948753,11784258,FALSE,11.784258
Germany,DEU,2024,6.7688236,572319170,FALSE,572.31917
Ghana,GHA,2024,0.6106143,21021874,FALSE,21.021874
Greece,GRC,2024,5.310692,53360840,FALSE,53.36084
Greenland,GRL,2024,11.079819,618963,FALSE,0.618963
Grenada,GRD,2024,3.2159822,376971,FALSE,0.376971
Guatemala,GTM,2024,1.0800844,19880430,FALSE,19.88043
Guinea,GIN,2024,0.27287328,4026185,FALSE,4.026185
Guinea-Bissau,GNB,2024,0.15544437,342189,FALSE,0.342189
Guyana,GUY,2024,5.4269924,4510330,FALSE,4.51033
Haiti,HTI,2024,0.2523404,2970693,FALSE,2.970693
Honduras,HND,2024,1.187437,12854842,FALSE,12.854842
Hong Kong,HKG,2024,4.4941745,33323918,FALSE,33.323918
Hungary,HUN,2024,4.135669,40017292,FALSE,40.017292
Iceland,ISL,2024,9.666935,3803011,FALSE,3.803011
India,IND,2024,2.2009783,3193478100,FALSE,3193.4781
Indonesia,IDN,2024,2.8650963,812220200,FALSE,812.2202
Iran,IRN,2024,8.656227,792631200,FALSE,792.6312
Iraq,IRQ,2024,5.074398,233635500,FALSE,233.6355
Ireland,IRL,2024,6.3388243,33310624,FALSE,33.310624
Israel,ISR,2024,5.6074414,52637136,FALSE,52.637136
Italy,ITA,2024,5.087886,301929760,FALSE,301.92976
Jamaica,JAM,2024,2.9592197,8401763,FALSE,8.401763
Japan,JPN,2024,7.7724743,961867300,FALSE,961.8673
Jordan,JOR,2024,2.009813,23219138,FALSE,23.219138
Kazakhstan,KAZ,2024,13.937352,287005950,FALSE,287.00595
Kenya,KEN,2024,0.37611777,21225434,FALSE,21.225434
Kiribati,KIR,2024,0.5386222,72456,TRUE,0.072456
Kuwait,KWT,2024,26.24753,129518650,FALSE,129.51865
Kyrgyzstan,KGZ,2024,1.6379259,11770158,FALSE,11.770158
Laos,LAO,2024,3.140345,24399926,FALSE,24.399926
Latvia,LVA,2024,3.4520962,6461889,FALSE,6.461889
Lebanon,LBN,2024,2.6955004,15649973,FALSE,15.649973
Lesotho,LSO,2024,1.100255,2571767,FALSE,2.571767
Liberia,LBR,2024,0.15310843,859369,FALSE,0.859369
Libya,LBY,2024,8.841596,65260070,FALSE,65.26007
Liechtenstein,LIE,2024,3.2992606,131624,FALSE,0.131624
Lithuania,LTU,2024,4.386505,12541509,FALSE,12.541509
Luxembourg,LUX,2024,10.459649,7039783,FALSE,7.039783
Macao,MAC,2024,1.4665723,1056328,FALSE,1.056328
Madagascar,MDG,2024,0.14166704,4528381,FALSE,4.528381
Malawi,MWI,2024,0.08688312,1881479,FALSE,1.881479
Malaysia,MYS,2024,8.16206,290223840,FALSE,290.22384
Maldives,MDV,2024,4.3694687,2306210,FALSE,2.30621
Mali,MLI,2024,0.2850997,6978840,FALSE,6.97884
Malta,MLT,2024,3.2037206,1728766,FALSE,1.728766
Marshall Islands,MHL,2024,4.1115723,154480,TRUE,0.15448
Mauritania,MRT,2024,1.0134012,5238679,FALSE,5.238679
Mauritius,MUS,2024,3.6766226,4673616,FALSE,4.673616
Mexico,MEX,2024,3.5227275,460987650,FALSE,460.98765
Micronesia (country),FSM,2024,1.3309593,150626,TRUE,0.150626
Moldova,MDA,2024,1.7551568,5326843,FALSE,5.326843
Mongolia,MNG,2024,12.859549,44693890,FALSE,44.69389
Montenegro,MNE,2024,3.7217364,2376258,FALSE,2.376258
Montserrat,MSR,2024,6.0215225,26579,FALSE,0.026579
Morocco,MAR,2024,1.813556,69062344,FALSE,69.062344
Mozambique,MOZ,2024,0.24869162,8612630,FALSE,8.61263
Myanmar,MMR,2024,0.5798787,31603438,FALSE,31.603438
Namibia,NAM,2024,1.1448735,3469112,FALSE,3.469112
Nauru,NRU,2024,5.129512,61390,TRUE,0.06139
Nepal,NPL,2024,0.6332349,18776082,FALSE,18.776082
Netherlands,NLD,2024,6.29691,114784730,FALSE,114.78473
New Caledonia,NCL,2024,18.0644,5286637,TRUE,5.286637
New Zealand,NZL,2024,6.229343,32479432,FALSE,32.479432
Nicaragua,NIC,2024,0.8140884,5630346,FALSE,5.630346
Niger,NER,2024,0.11726506,3169958,FALSE,3.169958
Nigeria,NGA,2024,0.5837386,135824000,FALSE,135.824
