territory,year,anomaly,year_index,radius
American Samoa,1993,0,1,1.2
American Samoa,1994,0,2,1.2
American Samoa,1995,0,3,1.2
American Samoa,1996,0.1,4,1.51
American Samoa,1997,0,5,1.2
American Samoa,1998,-0.2,6,0.58
American Samoa,1999,0,7,1.2
American Samoa,2000,0,8,1.2
American Samoa,2001,0,9,1.2
American Samoa,2002,0,10,1.2
American Samoa,2003,0,11,1.2
American Samoa,2004,0.1,12,1.51
American Samoa,2005,0,13,1.2
American Samoa,2006,0.1,14,1.51
American Samoa,2007,0.1,15,1.51
American Samoa,2008,0.1,16,1.51
American Samoa,2009,0,17,1.2
American Samoa,2010,0,18,1.2
American Samoa,2011,0.1,19,1.51
American Samoa,2012,0,20,1.2
American Samoa,2013,0,21,1.2
American Samoa,2014,0,22,1.2
American Samoa,2015,0.1,23,1.51
American Samoa,2016,0,24,1.2
American Samoa,2017,0.1,25,1.51
American Samoa,2018,0.1,26,1.51
American Samoa,2019,0.1,27,1.51
American Samoa,2020,0.1,28,1.51
American Samoa,2021,0.1,29,1.51
American Samoa,2022,0.1,30,1.51
American Samoa,2023,0.1,31,1.51
Cook Islands,1993,0,1,1.2
Cook Islands,1994,0,2,1.2
Cook Islands,1995,0,3,1.2
Cook Islands,1996,0,4,1.2
Cook Islands,1997,0,5,1.2
Cook Islands,1998,-0.1,6,0.8899999999999999
Cook Islands,1999,0,7,1.2
Cook Islands,2000,0,8,1.2
Cook Islands,2001,0,9,1.2
Cook Islands,2002,0,10,1.2
Cook Islands,2003,0,11,1.2
Cook Islands,2004,0,12,1.2
Cook Islands,2005,0,13,1.2
Cook Islands,2006,0.1,14,1.51
Cook Islands,2007,0.1,15,1.51
Cook Islands,2008,0,16,1.2
Cook Islands,2009,0,17,1.2
Cook Islands,2010,0,18,1.2
Cook Islands,2011,0.1,19,1.51
Cook Islands,2012,0,20,1.2
Cook Islands,2013,0,21,1.2
Cook Islands,2014,0.1,22,1.51
Cook Islands,2015,0.1,23,1.51
Cook Islands,2016,0.1,24,1.51
Cook Islands,2017,0.1,25,1.51
Cook Islands,2018,0.1,26,1.51
Cook Islands,2019,0.1,27,1.51
Cook Islands,2020,0.1,28,1.51
Cook Islands,2021,0.1,29,1.51
Cook Islands,2022,0.1,30,1.51
Cook Islands,2023,0.1,31,1.51
Fiji,1993,0,1,1.2
Fiji,1994,0,2,1.2
Fiji,1995,0,3,1.2
Fiji,1996,0,4,1.2
Fiji,1997,0,5,1.2
Fiji,1998,0,6,1.2
Fiji,1999,0,7,1.2
Fiji,2000,0.1,8,1.51
Fiji,2001,0,9,1.2
Fiji,2002,0,10,1.2
Fiji,2003,0,11,1.2
Fiji,2004,0,12,1.2
Fiji,2005,0,13,1.2
Fiji,2006,0,14,1.2
Fiji,2007,0,15,1.2
Fiji,2008,0.1,16,1.51
