territory,year,anomaly,year_index,radius
American Samoa,1920,-0.5,1,0.9416666666666667
American Samoa,1921,-0.4,2,0.9933333333333333
American Samoa,1922,-0.1,3,1.1483333333333332
American Samoa,1923,-0.4,4,0.9933333333333333
American Samoa,1924,-0.1,5,1.1483333333333332
American Samoa,1925,-0.3,6,1.045
American Samoa,1926,-0.3,7,1.045
American Samoa,1927,-0.3,8,1.045
American Samoa,1928,-0.2,9,1.0966666666666667
American Samoa,1929,-0.3,10,1.045
American Samoa,1930,-0.4,11,0.9933333333333333
American Samoa,1931,-0.3,12,1.045
American Samoa,1932,-0.1,13,1.1483333333333332
American Samoa,1933,-0.5,14,0.9416666666666667
American Samoa,1934,-0.4,15,0.9933333333333333
American Samoa,1935,-0.4,16,0.9933333333333333
American Samoa,1936,-0.2,17,1.0966666666666667
American Samoa,1937,-0.3,18,1.045
American Samoa,1938,-0.4,19,0.9933333333333333
American Samoa,1939,-0.5,20,0.9416666666666667
American Samoa,1940,-0.1,21,1.1483333333333332
American Samoa,1941,0.1,22,1.2516666666666667
American Samoa,1942,0.1,23,1.2516666666666667
American Samoa,1943,0.1,24,1.2516666666666667
American Samoa,1944,0.2,25,1.3033333333333332
American Samoa,1945,0.1,26,1.2516666666666667
American Samoa,1946,0.2,27,1.3033333333333332
American Samoa,1947,0.2,28,1.3033333333333332
American Samoa,1948,-0.2,29,1.0966666666666667
American Samoa,1949,-0.2,30,1.0966666666666667
American Samoa,1950,-0.2,31,1.0966666666666667
American Samoa,1951,-0.1,32,1.1483333333333332
American Samoa,1952,0.2,33,1.3033333333333332
American Samoa,1953,0.1,34,1.2516666666666667
American Samoa,1954,0,35,1.2
American Samoa,1955,-0.3,36,1.045
American Samoa,1956,-0.3,37,1.045
American Samoa,1957,-0.1,38,1.1483333333333332
American Samoa,1958,0,39,1.2
American Samoa,1959,0.1,40,1.2516666666666667
American Samoa,1960,0,41,1.2
American Samoa,1961,0,42,1.2
American Samoa,1962,-0.1,43,1.1483333333333332
American Samoa,1963,0,44,1.2
American Samoa,1964,-0.1,45,1.1483333333333332
American Samoa,1965,-0.3,46,1.045
American Samoa,1966,0,47,1.2
American Samoa,1967,-0.2,48,1.0966666666666667
American Samoa,1968,0,49,1.2
American Samoa,1969,0.2,50,1.3033333333333332
American Samoa,1970,0.1,51,1.2516666666666667
American Samoa,1971,-0.2,52,1.0966666666666667
American Samoa,1972,-0.2,53,1.0966666666666667
American Samoa,1973,0.2,54,1.3033333333333332
American Samoa,1974,-0.3,55,1.045
American Samoa,1975,-0.3,56,1.045
American Samoa,1976,-0.3,57,1.045
American Samoa,1977,-0.1,58,1.1483333333333332
American Samoa,1978,0,59,1.2
American Samoa,1979,-0.1,60,1.1483333333333332
American Samoa,1980,0.1,61,1.2516666666666667
American Samoa,1981,-0.1,62,1.1483333333333332
American Samoa,1982,0,63,1.2
American Samoa,1983,-0.3,64,1.045
American Samoa,1984,0,65,1.2
American Samoa,1985,-0.2,66,1.0966666666666667
American Samoa,1986,-0.1,67,1.1483333333333332
American Samoa,1987,-0.1,68,1.1483333333333332
American Samoa,1988,0.1,69,1.2516666666666667
American Samoa,1989,-0.1,70,1.1483333333333332
American Samoa,1990,0,71,1.2
American Samoa,1991,0.3,72,1.355
American Samoa,1992,0.2,73,1.3033333333333332
American Samoa,1993,0.1,74,1.2516666666666667
American Samoa,1994,0.2,75,1.3033333333333332
American Samoa,1995,0.3,76,1.355
American Samoa,1996,0.2,77,1.3033333333333332
American Samoa,1997,-0.1,78,1.1483333333333332
American Samoa,1998,-0.2,79,1.0966666666666667
American Samoa,1999,0.1,80,1.2516666666666667
American Samoa,2000,0.3,81,1.355
American Samoa,2001,0.2,82,1.3033333333333332
American Samoa,2002,0.4,83,1.4066666666666667
American Samoa,2003,0.5,84,1.4583333333333333
American Samoa,2004,0.6,85,1.51
American Samoa,2005,0.6,86,1.51
American Samoa,2006,0.5,87,1.4583333333333333
American Samoa,2007,0.5,88,1.4583333333333333
American Samoa,2008,0.1,89,1.2516666666666667
American Samoa,2009,0.4,90,1.4066666666666667
American Samoa,2010,0.5,91,1.4583333333333333
American Samoa,2011,0.1,92,1.2516666666666667
American Samoa,2012,0.4,93,1.4066666666666667
American Samoa,2013,0.5,94,1.4583333333333333
American Samoa,2014,0.6,95,1.51
American Samoa,2015,0.3,96,1.355
American Samoa,2016,0.6,97,1.51
American Samoa,2017,0.7,98,1.5616666666666665
American Samoa,2018,0.6,99,1.51
American Samoa,2019,0.7,100,1.5616666666666665
American Samoa,2020,0.7,101,1.5616666666666665
Cook Islands,1920,-0.2,1,1.0966666666666667
